Hero_Name,Occupation,Win_Rate,Pick_Rate,Ban_Rate,Tier,Z_Score,S_Index,Final_Conclusion
大禹,辅助/坦克,0.516,0.04,0.122,T3,3.720930232558143,0.03185100659894563,平衡 (Balanced)
橘右京,刺客/战士,0.519,0.043,0.001,T3,4.418604651162795,0.03173642959060347,平衡 (Balanced)
狄仁杰,射手,0.511,0.153,0.017,T1,2.5581395348837233,0.03155281618593991,平衡 (Balanced)
空空儿,辅助/战士,0.511,0.033,0.302,T3,2.5581395348837233,0.0311447652496947,平衡 (Balanced)
戈娅,射手,0.516,0.058,0.002,T3,3.720930232558143,0.030770761794913004,平衡 (Balanced)
芈月,法师/战士,0.519,0.035,0.034,T3,4.418604651162795,0.030277470538749233,平衡 (Balanced)
干将莫邪,法师,0.512,0.103,0.013,T2,2.790697674418607,0.029747632708619565,平衡 (Balanced)
孙权,射手,0.508,0.218,0.082,T0,1.8604651162790715,0.02911408428768318,平衡 (Balanced)
虞姬,射手,0.508,0.167,0.09,T1,1.8604651162790715,0.027488517116638286,平衡 (Balanced)
云中君,刺客,0.525,0.017,0.0,T4,5.813953488372098,0.02483129432525711,平衡 (Balanced)
司马懿,刺客/法师,0.512,0.065,0.013,T3,2.790697674418607,0.0248288362465072,平衡 (Balanced)
太乙真人,辅助/坦克,0.516,0.028,0.017,T4,3.720930232558143,0.022210017067717462,平衡 (Balanced)
曹操,战士,0.509,0.096,0.01,T2,2.0930232558139554,0.021747686010062214,平衡 (Balanced)
大乔,辅助/法师,0.499,0.107,0.469,T1,-0.23255813953488394,0.020990411158196286,平衡 (Balanced)
影,战士,0.511,0.045,0.002,T3,2.5581395348837233,0.018852229014622694,平衡 (Balanced)
司空震,战士/法师,0.507,0.115,0.01,T2,1.6279069767441874,0.018180100510157806,平衡 (Balanced)
后羿,射手,0.507,0.118,0.003,T2,1.6279069767441874,0.017996116196479017,平衡 (Balanced)
庄周,辅助/坦克,0.495,0.034,0.497,T2,-1.1627906976744196,0.017441977295378917,平衡 (Balanced)
李元芳,射手,0.508,0.068,0.004,T2,1.8604651162790715,0.016632989869564383,平衡 (Balanced)
娜可露露,刺客,0.509,0.042,0.001,T3,2.0930232558139554,0.014887927630286447,平衡 (Balanced)
赵怀真,战士,0.51,0.031,0.002,T4,2.325581395348839,0.014209869737102632,平衡 (Balanced)
梦奇,坦克/法师,0.517,0.013,0.0,T4,3.9534883720930267,0.014159455089896779,平衡 (Balanced)
高渐离,法师,0.509,0.036,0.001,T3,2.0930232558139554,0.013784506731455454,平衡 (Balanced)
花木兰,战士,0.506,0.08,0.002,T2,1.3953488372093035,0.013283347464017329,平衡 (Balanced)
杨玉环,法师,0.506,0.077,0.004,T2,1.3953488372093035,0.013179938153963238,平衡 (Balanced)
莱西奥,射手,0.507,0.054,0.001,T3,1.6279069767441874,0.013044085932559395,平衡 (Balanced)
姬小满,战士,0.509,0.028,0.001,T4,2.0930232558139554,0.012065009600591071,平衡 (Balanced)
东皇太一,辅助/法师,0.5,0.054,0.238,T2,0.0,0.0119,平衡 (Balanced)
韩信,刺客,0.503,0.153,0.055,T1,0.6976744186046517,0.011123495323438157,平衡 (Balanced)
周瑜,法师/战士,0.508,0.028,0.0,T4,1.8604651162790715,0.010680008533858731,平衡 (Balanced)
暃,刺客,0.505,0.059,0.012,T3,1.1627906976744196,0.010257607058016077,平衡 (Balanced)
曜,战士/刺客,0.505,0.067,0.001,T3,1.1627906976744196,0.0102561016442982,平衡 (Balanced)
海月,法师,0.5,0.057,0.202,T2,0.0,0.010100000000000001,平衡 (Balanced)
蔡文姬,辅助/法师,0.501,0.079,0.146,T2,0.23255813953488394,0.009486051276738097,平衡 (Balanced)
沈梦溪,法师,0.502,0.102,0.083,T2,0.4651162790697679,0.008981827556602102,平衡 (Balanced)
赢政,法师,0.505,0.048,0.001,T3,1.1627906976744196,0.008839289587761876,平衡 (Balanced)
鬼谷子,辅助/法师,0.504,0.033,0.06,T3,0.9302325581395358,0.008834460090798073,平衡 (Balanced)
老夫子,战士,0.505,0.046,0.004,T3,1.1627906976744196,0.008813832988705526,平衡 (Balanced)
铠,战士/坦克,0.501,0.113,0.106,T2,0.23255813953488394,0.007809599262378375,平衡 (Balanced)
张飞,辅助/坦克,0.501,0.166,0.096,T1,0.23255813953488394,0.007667898902044109,平衡 (Balanced)
刘邦,坦克/法师,0.503,0.042,0.028,T3,0.6976744186046517,0.006345975876762149,平衡 (Balanced)
蒙犽,射手,0.505,0.013,0.0,T4,1.1627906976744196,0.0041645456146755236,平衡 (Balanced)
亚连,战士/坦克,0.501,0.026,0.001,T4,0.23255813953488394,0.0013309338454620652,平衡 (Balanced)
艾琳,射手,0.5,0.143,0.025,T2,0.0,0.0012500000000000002,平衡 (Balanced)
鲁班大师,辅助/坦克,0.5,0.026,0.01,T4,0.0,0.0005,平衡 (Balanced)
钟无艳,战士/坦克,0.499,0.022,0.001,T4,-0.23255813953488394,-0.001113150809805682,平衡 (Balanced)
典韦,战士,0.499,0.071,0.008,T2,-0.23255813953488394,-0.0016918640616783952,平衡 (Balanced)
夏洛特,战士,0.499,0.1,0.005,T2,-0.23255813953488394,-0.002147895272798373,平衡 (Balanced)
西施,法师,0.496,0.12,0.156,T2,-0.9302325581395358,-0.0024597974298461557,平衡 (Balanced)
项羽,坦克/战士,0.498,0.187,0.05,T1,-0.4651162790697679,-0.00346123727148789,平衡 (Balanced)
宫本武藏,战士/刺客,0.491,0.136,0.401,T0,-2.0930232558139554,-0.004079193758428638,平衡 (Balanced)
裴擒虎,刺客,0.497,0.059,0.025,T3,-0.6976744186046517,-0.004544564234809646,平衡 (Balanced)
赵云,战士/刺客,0.497,0.052,0.001,T3,-0.6976744186046517,-0.005423647876153143,平衡 (Balanced)
阿轲,刺客,0.496,0.03,0.002,T4,-0.9302325581395358,-0.005445177444479567,平衡 (Balanced)
露娜,刺客/法师,0.496,0.035,0.004,T3,-0.9302325581395358,-0.005816309587105102,平衡 (Balanced)
杨戬,战士,0.496,0.068,0.017,T2,-0.9302325581395358,-0.007366494934782192,平衡 (Balanced)
蒙恬,坦克,0.495,0.05,0.012,T3,-1.1627906976744196,-0.008358797346140283,平衡 (Balanced)
镜,刺客,0.493,0.054,0.081,T3,-1.6279069767441874,-0.008944085932559395,平衡 (Balanced)
牛魔,辅助/坦克,0.494,0.037,0.001,T3,-1.3953488372093035,-0.009235375052296085,平衡 (Balanced)
钟馗,辅助/坦克,0.492,0.075,0.126,T2,-1.8604651162790715,-0.010820529307970183,平衡 (Balanced)
甄姬,法师,0.495,0.166,0.063,T1,-1.1627906976744196,-0.011189494510220544,平衡 (Balanced)
猪八戒,坦克,0.493,0.041,0.002,T3,-1.6279069767441874,-0.011304683778111972,平衡 (Balanced)
孙膑,辅助/法师,0.491,0.032,0.015,T4,-2.0930232558139554,-0.012165760727603916,平衡 (Balanced)
苍,射手,0.491,0.029,0.001,T4,-2.0930232558139554,-0.012198788978220418,平衡 (Balanced)
海诺,法师/战士,0.492,0.068,0.045,T2,-1.8604651162790715,-0.014182989869564384,平衡 (Balanced)
刘禅,辅助/坦克,0.492,0.058,0.018,T3,-1.8604651162790715,-0.014435380897456503,平衡 (Balanced)
扁鹊,法师/战士,0.478,0.01,0.001,T4,-5.1162790697674465,-0.01519923797231881,平衡 (Balanced)
达摩,战士/坦克,0.49,0.037,0.0,T3,-2.325581395348839,-0.015475625087160142,平衡 (Balanced)
孙策,战士/坦克,0.49,0.05,0.001,T3,-2.325581395348839,-0.017867594692280563,平衡 (Balanced)
黄忠,射手,0.486,0.028,0.0,T4,-3.2558139534883748,-0.01869001493425278,平衡 (Balanced)
盘古,战士,0.487,0.045,0.066,T3,-3.023255813953491,-0.01886172519909955,平衡 (Balanced)
公孙离,射手,0.491,0.114,0.071,T2,-2.0930232558139554,-0.01910926825349894,平衡 (Balanced)
伽罗,射手,0.487,0.035,0.003,T3,-3.023255813953491,-0.019403006158091582,平衡 (Balanced)
百里守约,射手/刺客,0.487,0.038,0.019,T3,-3.023255813953491,-0.019442006932880007,平衡 (Balanced)
李白,刺客,0.488,0.059,0.003,T3,-2.790697674418607,-0.023028256939238583,平衡 (Balanced)
狂铁,战士/坦克,0.49,0.111,0.024,T2,-2.325581395348839,-0.023732054526026978,平衡 (Balanced)
瑶,辅助/法师,0.484,0.121,0.342,T1,-3.720930232558143,-0.024061795683313725,平衡 (Balanced)
兰陵王,刺客,0.477,0.021,0.009,T4,-5.348837209302331,-0.02557224856429534,平衡 (Balanced)
李信,战士,0.488,0.095,0.041,T2,-2.790697674418607,-0.026166503085961756,平衡 (Balanced)
明世隐,辅助/法师,0.465,0.013,0.007,T4,-8.139534883720925,-0.028801819302728616,平衡 (Balanced)
不知火舞,刺客/法师,0.483,0.051,0.005,T3,-3.9534883720930267,-0.03049090911004754,平衡 (Balanced)
弈星,法师,0.484,0.064,0.005,T3,-3.720930232558143,-0.03177368000336202,平衡 (Balanced)
程咬金,坦克,0.476,0.035,0.002,T3,-5.581395348837214,-0.03599785752263061,平衡 (Balanced)
亚瑟,战士/坦克,0.476,0.035,0.002,T3,-5.581395348837214,-0.03599785752263061,平衡 (Balanced)
夏侯惇,坦克/战士,0.479,0.058,0.01,T3,-4.883720930232562,-0.03975537485582332,平衡 (Balanced)
廉颇,坦克,0.481,0.081,0.013,T2,-4.418604651162795,-0.04130721385693332,平衡 (Balanced)
朵莉亚,辅助/法师,0.48,0.175,0.296,T0,-4.651162790697678,-0.04355541464168563,平衡 (Balanced)
元流之子(坦克),坦克/战士,0.465,0.027,0.016,T4,-8.139534883720925,-0.04499164868775623,平衡 (Balanced)
澜,刺客/战士,0.482,0.127,0.028,T2,-4.186046511627911,-0.04571312499101347,平衡 (Balanced)
金蝉,法师,0.469,0.048,0.174,T3,-7.209302325581402,-0.04579359544412363,平衡 (Balanced)
孙悟空,刺客,0.482,0.162,0.018,T1,-4.186046511627911,-0.05030836890874938,平衡 (Balanced)
大司命,战士,0.476,0.079,0.023,T2,-5.581395348837214,-0.05131523064171431,平衡 (Balanced)
小乔,法师,0.483,0.207,0.004,T1,-3.9534883720930267,-0.05211430842928908,平衡 (Balanced)
妲己,法师,0.478,0.118,0.058,T2,-5.1162790697674465,-0.053187793760362624,平衡 (Balanced)
姜子牙,法师,0.474,0.072,0.022,T2,-6.046511627906982,-0.053607488011025446,平衡 (Balanced)
王昭君,法师,0.48,0.165,0.063,T1,-4.651162790697678,-0.054094017618589424,下水道 (Underpowered)
米莱狄,法师,0.461,0.036,0.036,T3,-9.06976744186046,-0.05771619583630688,下水道 (Underpowered)
安琪拉,法师,0.475,0.092,0.006,T2,-5.813953488372098,-0.05775969300725568,下水道 (Underpowered)
孙尚香,射手,0.474,0.11,0.003,T2,-6.046511627906982,-0.06445757289448807,下水道 (Underpowered)
鲁班七号,射手,0.466,0.065,0.001,T3,-7.906976744186041,-0.06845670269843696,下水道 (Underpowered)
马可波罗,射手,0.475,0.152,0.018,T2,-5.813953488372098,-0.06872528105595851,下水道 (Underpowered)
吕布,战士/坦克,0.462,0.159,0.053,T1,-8.837209302325576,-0.10478791763330299,下水道 (Underpowered)
